	TARGET-20-PAUVBS	TARGET-20-PAUVGD	TARGET-20-PAUVXU	TARGET-20-PAUWCF	TARGET-20-PAUXLK	TARGET-20-PAUXNM	TARGET-20-PAUYDT	TARGET-20-PAVAGA	TARGET-20-PAVFYL	TARGET-20-PAVLKB	TARGET-20-PAVLWY	TARGET-20-PAVPKA	TARGET-20-PAVSWX	TARGET-20-PAWCAW	TARGET-20-PAWFZT	TARGET-20-PAWTWW	TARGET-20-PAWXZJ	TARGET-20-PAWYTW	TARGET-20-PAXGVH	TARGET-20-PAXJVE
AC002429.1	0	0	4	4	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0
AC002451.1	17	3	13	7	1	0	18	40	8	6	23	52	10	2	2	3	4	14	0	4
AC002451.2	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002456.1	62	150	60	65	60	103	226	90	108	750	148	79	149	280	532	92	52	75	7	12
AC002456.2	0	0	0	0	2	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0
AC002458.1	238	143	28	33	47	55	141	26	35	199	22	16	133	120	138	106	13	57	2	38
AC002460.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC002460.2	5	0	1	0	0	0	0	0	2	4	3	4	22	1	1	2	4	5	0	0
AC002463.1	114	118	102	189	142	142	108	37	101	94	175	257	372	201	132	103	146	86	100	77
AC002464.1	0	275	49	213	174	14	132	56	4	88	181	5	52	419	72	80	212	28	27	99
AC002465.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002467.1	189	110	157	196	151	72	285	128	159	97	224	210	208	178	102	73	264	68	141	144
AC002470.1	12	18	18	11	3	0	9	0	3	2	9	4	7	15	2	2	13	11	4	9
AC002470.2	0	1	1	0	0	0	3	0	0	0	1	0	1	0	0	1	1	1	1	0
AC002472.1	3	1	3	2	1	1	3	0	1	1	4	5	1	0	0	1	0	0	2	0
AC002472.2	19	6	22	21	6	0	20	4	2	8	17	17	23	17	11	7	17	5	5	10
AC002472.3	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AC002472.4	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC002480.1	1	2	29	40	9	0	3	3	3	2	3	3	5	11	5	6	7	4	2	9
AC002480.2	2	1	25	48	3	0	2	0	0	2	0	4	8	2	3	3	5	4	1	12
AC002486.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC002486.2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
AC002487.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002511.1	1	1	1	51	0	0	16	9	53	26	164	53	16	1	2	62	9	7	2	18
AC002511.2	0	0	0	14	1	0	5	0	10	12	11	16	8	0	1	13	6	2	0	2
AC002511.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002519.1	7	2	12	5	3	1	9	1	2	3	2	3	4	4	4	0	3	3	2	0
AC002519.2	2	1	1	0	0	0	0	0	3	1	2	2	4	2	0	0	0	0	1	1
AC002525.1	0	5	47	123	32	5	104	14	9	51	44	48	18	14	32	104	72	44	5	111
AC002529.1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
AC002540.1	9	6	47	1	0	0	2	0	4	5	5	5	8	1	5	2	4	0	0	1
AC002542.1	7	7	1	0	17	41	6	0	6	3	2	0	12	1	9	2	7	4	6	3
AC002542.2	5	4	5	0	9	28	4	0	2	2	1	0	2	2	8	0	2	2	0	1
AC002542.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002542.6	63	50	66	3	71	56	42	1	63	27	8	0	20	1	61	10	45	12	38	20
AC002543.1	380	738	741	993	535	711	425	205	1666	1043	1023	913	531	829	570	1880	2451	175	705	1408
AC002545.1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0
AC002546.1	15	5	31	36	13	0	5	8	0	1	3	22	0	26	0	1	7	0	6	3
AC002550.1	19	96	174	126	68	35	82	42	19	23	81	84	61	206	5	15	89	55	63	49
AC002550.2	6	67	31	32	33	0	16	20	5	12	16	49	12	46	6	10	26	19	12	30
AC002551.1	31	31	85	28	24	0	60	7	39	22	28	24	21	31	34	30	50	9	19	28
AC002553.1	454	235	483	447	506	736	432	192	469	568	441	410	456	526	611	299	516	408	483	348
AC002553.2	217	80	131	284	125	491	128	82	145	348	103	291	275	226	217	148	145	88	163	232
AC002558.1	805	378	394	392	300	173	676	237	386	386	261	146	321	171	602	401	351	471	788	678
AC002558.2	676	513	440	630	574	359	720	368	417	498	398	394	921	445	749	543	416	663	704	561
AC002558.3	1074	851	604	1046	580	528	857	179	551	733	314	453	691	360	1149	824	553	501	1101	1213
AC002563.1	6	74	75	72	30	24	233	45	17	29	127	18	72	91	22	51	71	143	96	41
AC002984.1	98	66	100	31	35	50	74	16	34	23	26	9	82	43	34	24	10	4	59	33
AC002985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002996.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003001.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC003001.2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC003002.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003002.2	11	4	4	2	3	0	3	1	4	1	1	7	8	17	2	0	0	4	11	1
AC003002.3	21	9	7	5	10	9	4	6	20	19	1	1	4	8	7	2	2	2	36	7
AC003005.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003005.2	2	5	2	0	10	0	2	9	9	2	1	0	9	1	2	1	9	5	22	1
AC003006.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003009.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003035.1	5	8	6	8	4	0	8	12	4	6	1	5	2	4	4	0	2	5	2	3
AC003035.2	4	1	2	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	1
AC003043.1	3	1	2	6	1	0	1	0	1	2	4	1	3	1	1	1	0	2	1	0
AC003043.2	25	4	31	20	16	30	55	64	27	37	142	2	43	3	32	29	21	4	10	12
AC003044.1	1	0	1	2	3	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0
AC003070.1	150	233	414	418	121	64	378	639	155	125	1277	383	268	224	119	201	481	420	133	313
AC003070.2	1	1	3	1	1	0	1	3	2	3	0	0	0	0	1	0	0	0	1	0
AC003071.1	5	0	2	0	0	34	1	0	0	1	1	0	0	0	0	0	1	0	1	0
AC003072.1	28	51	82	60	32	21	86	32	22	17	90	75	28	95	49	29	125	39	11	57
AC003072.2	10	3	11	6	3	0	13	2	10	0	42	7	25	1	4	8	48	4	3	7
AC003077.1	32	0	52	24	19	0	14	18	220	18	24	31	137	5	33	13	82	85	6	49
AC003080.1	4	3	29	14	14	0	13	1	387	45	7	0	73	6	59	27	27	57	4	55
AC003084.1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC003086.1	1	10	32	14	7	0	4	9	2	1	3	17	3	14	0	3	4	3	0	1
AC003087.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003092.1	0	2	1	0	1	0	0	0	4	3	1	1	318	0	2	0	0	0	0	0
AC003092.2	0	0	0	0	0	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0
AC003093.1	32	47	10	5	1	0	13	7	37	4	6	26	12	42	6	4	100	3	29	16
AC003098.1	1	0	2	2	0	0	2	0	0	4	0	0	2	1	0	2	1	0	2	0
AC003101.1	2	0	2	1	0	1	4	6	3	2	7	0	1	1	2	2	1	3	0	0
AC003101.2	4	0	2	1	0	1	4	8	14	7	6	2	5	0	7	5	1	11	7	1
AC003101.3	802	58	15	39	9	1	40	21	115	51	375	664	103	56	58	160	25	13	71	34
AC003102.1	414	237	308	227	114	35	418	180	214	98	275	229	824	55	117	168	159	206	154	136
AC003109.1	0	1	1	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0
AC003657.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
AC003659.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0
AC003666.1	0	0	0	0	0	0	0	0	0	0	1	0	4	0	1	2	0	0	1	0
AC003669.1	0	0	1	0	0	11	1	0	0	1	0	0	0	0	0	0	1	0	0	0
AC003681.1	9561	11212	7730	11037	11118	19340	14257	13199	23543	24444	30629	10362	14863	8359	25031	24371	15540	13222	10191	10608
AC003682.1	16	8	12	7	16	1	11	3	9	4	8	20	10	28	4	9	16	3	26	10
AC003684.1	1	2	2	5	0	0	0	0	0	1	0	0	0	2	1	2	1	0	1	0
AC003685.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003686.1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0
AC003687.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003688.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003688.2	5	1	0	3	14	0	42	15	11	20	56	0	130	0	35	30	12	1	22	4
AC003950.1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0
AC003956.1	35	47	59	70	38	36	51	11	12	22	33	49	87	29	21	20	45	20	26	42
AC003957.1	88	24	74	39	37	79	43	24	148	81	115	77	142	93	78	21	138	40	3	111
AC003958.1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AC003958.2	4	1	1	1	0	2	0	0	2	0	0	0	0	0	0	1	1	0	1	0
AC003965.1	1	1	2	7	2	0	7	0	3	4	4	2	12	5	6	1	4	4	4	2
AC003965.2	0	0	0	0	0	0	0	0	6	2	0	1	6	0	0	0	0	0	5	3
AC003973.1	1	1	0	3	0	0	0	1	3	4	3	1	0	0	3	2	1	0	1	3
AC003973.2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
AC003975.1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003982.1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	2	0
AC003984.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003985.1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
AC003986.1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003986.2	1	0	0	0	1	9	0	0	5	0	0	0	15	0	0	0	0	0	0	0
AC003986.3	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
AC003988.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC003989.1	43	160	131	79	109	10	76	45	25	68	16	44	35	157	26	16	103	56	102	82
AC003989.2	13	55	68	41	60	0	36	8	15	29	6	14	18	50	17	6	34	23	31	36
AC003991.1	60	44	63	200	40	9	154	198	631	115	2378	2189	84	98	84	1003	68	23	43	34
AC003992.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004000.1	16	14	24	17	16	1	12	0	1	2	5	2	5	20	11	0	14	10	3	6
AC004004.1	0	0	0	0	0	0	1	0	0	0	3	0	1	0	1	0	0	0	0	0
AC004006.1	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0
AC004009.1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
AC004009.2	0	0	0	2	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0
AC004009.3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC004012.1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AC004014.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC004014.2	0	0	0	3	0	0	0	3	0	0	1	0	1	0	0	1	0	0	0	0
AC004022.1	3	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
AC004022.2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004023.1	3	1	0	0	0	0	1	0	4	1	0	0	0	1	1	1	0	0	0	1
AC004024.1	5	5	7	1	1	0	0	0	2	4	0	2	5	4	2	2	1	4	2	1
AC004034.1	42	45	19	86	76	42	79	64	40	162	83	31	112	59	300	112	66	57	39	48
AC004039.1	5	15	6	9	14	5	12	11	8	4	7	95	49	30	3	21	15	0	18	6
AC004047.1	0	0	0	0	1	0	2	3	0	0	0	0	0	0	0	1	0	1	0	1
AC004052.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004053.1	5	0	0	4	0	0	11	0	16	1	5	4	9	5	0	6	1	2	5	1
AC004054.1	0	1	0	0	0	0	12	0	0	3	0	0	4	2	0	3	2	1	0	1
AC004057.1	1	7	7	6	9	2	7	0	2	1	84	0	333	1	2	0	2	0	5	0
AC004062.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004063.1	0	0	0	0	0	0	1	1	5	0	0	0	0	1	0	0	0	0	1	0
AC004066.1	0	0	0	0	0	20	3	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004067.1	31	89	13	21	141	23	19	15	17	16	17	66	83	101	44	8	65	28	76	19
AC004069.1	2	68	36	117	28	31	70	4	5	58	43	72	55	64	34	41	45	29	9	52
AC004069.2	1	0	0	1	0	0	0	4	0	0	1	2	1	2	0	0	0	0	1	0
AC004069.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
AC004076.1	7	3	6	3	8	0	3	3	9	7	11	3	5	9	8	3	16	2	25	0
AC004076.2	37	49	35	51	113	36	53	14	66	81	30	30	72	162	57	8	114	41	193	22
AC004079.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004079.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004079.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004079.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004079.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
AC004080.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.17	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.2	1	0	20	1	0	5	5	21	0	0	0	0	1	1	0	0	0	0	0	9
AC004080.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.4	73	0	200	9	0	0	56	0	0	0	1	0	32	0	0	0	0	1	0	0
AC004080.5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004080.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004083.1	1	6	0	5	10	12	5	9	11	4	4	3	22	9	3	4	3	1	17	3
AC004112.1	14	5	12	15	19	4	8	8	7	3	10	44	26	14	5	4	19	14	10	4
AC004125.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC004129.1	1	3	4	1	1	1	1	1	3	0	0	0	0	1	0	0	0	0	0	1
AC004129.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC004129.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004130.1	0	0	0	0	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0
AC004130.2	0	1	0	8	6	0	5	43	18	3	15	13	541	31	0	1	15	1	2	3
AC004134.1	114	112	84	151	93	72	102	89	102	139	90	44	101	67	105	39	109	78	199	187
AC004147.1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1
AC004147.2	0	0	0	0	0	0	6	0	1	0	2	0	2	0	0	1	0	0	0	0
AC004147.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004147.4	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
AC004147.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004148.1	506	359	405	542	667	353	381	133	487	427	253	595	826	733	688	253	441	266	622	440
AC004156.1	12	52	25	21	17	44	20	24	3	58	46	19	98	15	18	15	18	19	18	14
AC004158.1	25	131	83	135	142	9	286	538	30	59	79	36	77	196	59	51	100	305	122	70
AC004160.1	6	6	6	84	12	63	7	10	2	249	2	6	2	16	7	4	27	7	7	7
AC004160.2	0	1	2	50	1	9	6	0	0	138	0	2	0	0	0	1	23	1	0	5
AC004217.1	441	152	229	142	215	94	263	556	248	144	255	126	363	181	176	149	222	343	387	148
AC004217.2	51	46	15	10	11	33	30	2	29	18	17	5	37	19	35	15	22	8	52	12
AC004221.1	2	0	4	4	1	23	4	0	4	7	14	1	12	0	4	3	3	5	2	2
AC004223.1	71	103	50	57	83	85	36	36	182	105	27	30	21	45	94	78	56	24	57	65
AC004223.2	156	250	146	200	214	280	135	79	280	276	47	116	80	141	284	257	178	212	108	166
AC004223.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004223.4	181	83	44	45	71	38	52	5	74	98	50	40	56	46	97	77	68	35	78	32
AC004224.1	31	4	3	10	2	22	10	20	19	40	11	10	11	8	20	6	2	3	10	2
AC004224.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004231.1	0	7	19	6	3	6	28	28	16	1	303	127	0	5	0	131	3	0	0	2
AC004231.4	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0
AC004232.1	24	18	24	20	21	0	30	17	17	11	18	72	68	24	11	17	17	12	43	6
AC004232.2	15	17	14	8	16	15	15	0	18	29	14	15	23	11	17	5	20	8	55	9
AC004233.1	12	3	1	7	50	7	27	43	12	35	74	17	6	13	27	27	8	2	12	2
AC004233.2	10	11	13	52	138	35	148	151	48	138	260	141	20	51	86	239	56	5	78	44
AC004233.3	12	1	6	3	7	4	11	20	6	5	15	8	1	6	12	7	3	8	9	3
AC004233.4	1	2	3	2	27	0	21	109	19	17	246	31	16	8	13	37	9	2	17	6
AC004241.1	30	125	89	126	48	58	85	133	86	108	224	158	107	122	126	64	114	145	162	88
AC004241.2	2	6	17	14	0	0	11	3	4	1	16	12	7	7	13	3	13	4	8	13
AC004241.3	10	34	13	42	35	26	32	1	34	39	11	60	45	26	58	20	25	22	45	35
AC004241.4	21	9	6	1	4	39	4	0	9	16	5	29	16	12	6	4	6	4	5	4
AC004241.5	6	61	39	57	9	12	32	45	24	22	66	74	46	44	47	12	49	14	53	49
AC004253.1	85	233	215	109	211	45	181	70	69	81	26	46	54	154	134	42	119	156	74	107
AC004253.2	2	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0
AC004257.1	5	1	4	2	0	8	4	3	4	1	5	0	3	2	0	1	1	5	1	0
AC004263.1	11	21	10	30	17	40	80	42	76	77	168	67	50	16	69	163	44	15	31	63
AC004263.2	195	380	166	798	302	258	1125	1957	2120	1255	4648	2440	1904	481	1411	3045	1205	1179	415	1035
AC004264.1	6	0	2	1	1	14	1	3	2	3	2	4	19	6	1	0	7	0	0	1
AC004264.2	44	20	28	19	20	62	40	44	49	48	56	39	83	56	22	14	14	5	0	9
AC004381.1	46	30	13	58	20	114	16	21	18	281	12	20	25	29	252	15	17	24	10	39
AC004381.2	0	3	0	1	18	21	2	0	0	4	0	0	0	9	4	1	2	2	2	2
AC004381.3	576	289	126	1757	407	1307	203	50	287	4654	138	310	296	470	6480	392	314	125	99	901
AC004381.4	152	85	19	648	143	330	59	0	48	1518	31	59	64	110	1857	112	77	32	6	267
AC004383.1	2	5	4	3	3	0	3	0	4	0	1	4	0	12	0	0	6	4	4	1
AC004386.1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004386.2	60	61	71	59	154	30	41	242	28	66	19	50	38	84	45	28	65	161	40	34
AC004386.3	30	21	31	21	60	12	26	58	17	20	7	23	11	21	12	16	23	78	14	23
AC004386.4	60	84	104	63	204	23	60	337	23	53	41	80	48	114	28	42	98	153	60	61
AC004386.5	0	2	3	3	3	7	1	19	6	4	7	6	9	4	6	2	7	13	9	5
AC004386.6	61	83	113	99	129	40	79	88	18	66	27	66	45	134	60	54	61	67	24	62
AC004408.1	156	29	182	63	10	0	126	49	10	12	32	7	47	11	18	4	26	169	16	35
AC004408.2	246	59	280	95	18	11	49	260	5	23	26	5	19	21	142	3	122	862	14	113
AC004415.1	0	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0
AC004448.1	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0
AC004448.2	4	0	4	8	0	0	4	2	1	6	1	9	3	1	3	7	0	2	2	1
AC004448.3	4	0	2	6	1	6	1	2	2	4	7	9	4	0	1	2	7	0	0	1
AC004448.4	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0
AC004448.5	2	0	0	1	0	13	0	0	0	3	0	1	1	0	1	0	0	1	1	0
AC004449.1	3	1	0	3	5	0	2	0	0	5	4	0	3	2	1	1	0	0	2	1
AC004453.1	187	395	183	328	305	92	144	28	123	115	426	206	583	213	74	45	142	90	127	119
AC004453.2	106	6	9	7	6	38	6	0	6	8	8	38	24	1	2	4	4	2	7	4
AC004461.1	74	14	46	29	25	22	54	17	28	14	25	26	32	41	34	15	15	45	16	8
AC004461.2	149	79	116	79	56	10	83	59	57	42	110	144	76	76	54	70	81	34	44	42
AC004464.1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AC004466.1	433	445	649	462	451	513	675	831	533	422	1159	665	522	508	370	439	763	514	412	505
AC004466.2	96	73	75	65	38	85	85	51	151	54	61	100	33	54	91	64	112	34	34	92
AC004466.3	29	44	31	32	17	9	40	19	48	21	41	26	46	33	30	46	27	27	20	22
AC004467.1	3	0	2	0	0	0	8	0	0	1	0	10	5	4	0	0	0	1	47	0
AC004470.1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004470.2	3	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4	0	1
AC004471.1	368	178	120	120	110	75	231	319	231	163	272	144	168	102	243	140	124	97	161	86
AC004471.2	12	6	8	11	3	64	9	10	27	40	37	24	22	7	8	13	22	7	18	9
AC004477.1	300	351	701	285	219	146	263	58	211	102	394	218	429	394	151	136	493	124	249	270
AC004477.2	85	41	18	29	24	72	28	2	40	23	16	52	91	29	35	44	26	23	19	24
AC004485.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004486.1	1	5	7	6	0	29	3	0	5	2	1	6	5	1	1	3	2	2	1	1
AC004490.1	703	290	418	249	249	505	683	952	614	369	1028	145	933	253	298	307	367	770	292	277
AC004491.1	166	97	231	43	38	49	102	66	21	59	134	44	39	171	84	59	39	66	10	23
AC004492.1	221	280	67	304	344	492	240	82	214	270	126	344	279	162	287	296	167	289	205	239
AC004494.1	401	141	161	189	204	79	108	99	234	60	283	618	623	216	66	100	216	88	358	119
AC004494.2	69	18	12	14	21	16	19	12	39	22	21	37	80	27	6	1	22	7	47	6
AC004510.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004510.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004522.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AC004522.2	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	1	0
AC004522.3	1	0	0	1	0	0	1	0	0	0	0	0	3	1	1	0	0	0	5	0
AC004522.4	0	0	0	0	2	0	0	0	1	3	1	3	0	1	1	0	0	0	0	0
AC004522.5	3	6	16	3	6	0	0	1	0	3	6	1	3	4	1	2	4	1	2	6
AC004528.1	21	5	13	9	2	6	3	7	13	11	11	15	18	2	10	3	15	6	4	11
AC004528.2	1536	1156	1933	1315	1221	779	1955	3040	1055	930	3111	1521	4142	1350	1278	766	1524	2422	1254	1392
AC004540.1	98	250	475	128	80	1	130	128	61	5	34	4	121	282	18	11	111	33	166	43
AC004540.2	137	322	335	1055	114	0	482	258	571	200	1009	559	891	400	219	703	492	219	128	336
AC004542.1	398	587	470	773	593	239	638	308	340	380	716	919	1033	950	267	506	757	587	451	479
AC004542.2	771	930	824	1253	912	397	1117	374	491	626	1165	1680	1434	1861	532	838	1173	733	670	755
AC004542.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004542.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004542.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004542.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC004543.1	0	1	0	1	1	0	2	0	0	0	1	0	0	1	1	0	0	0	0	0
AC004549.1	45	2	34	11	6	7	59	21	6	4	18	17	14	11	2	9	16	14	8	15
AC004551.1	6	37	115	533	33	28	88	59	45	13	189	73	71	58	7	11	183	85	6	446
AC004554.1	0	1	5	5	1	8	15	3	3	7	25	6	3	5	10	21	5	10	1	1
AC004584.1	30	40	37	18	18	24	24	16	19	4	7	36	17	28	16	13	18	12	24	33
AC004584.2	19	49	26	23	20	4	24	2	25	12	9	68	30	44	23	17	36	9	26	33
AC004584.3	89	71	208	259	110	18	196	67	138	45	68	96	93	12	56	114	76	156	81	116
AC004585.1	13	1	9	48	3	0	5	0	2	1	11	37	17	5	0	6	0	1	2	2
AC004585.2	3	0	0	5	0	12	0	0	4	1	10	20	5	0	0	1	0	5	2	2
AC004590.1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
AC004593.1	10	55	37	65	8	5	88	61	6	0	31	14	14	44	0	6	36	12	11	10
AC004593.2	29	133	55	206	23	8	236	119	51	1	252	100	336	100	6	43	152	91	10	40
AC004594.1	0	0	1	0	0	0	5	4	2	0	0	2	0	0	0	1	0	0	2	0
AC004596.1	171	412	245	274	239	39	275	299	169	116	534	517	800	416	122	189	288	161	208	191
