	TARGET-20-PAUVBS	TARGET-20-PAUVGD	TARGET-20-PAUVXU	TARGET-20-PAUWCF	TARGET-20-PAUXLK	TARGET-20-PAUXNM	TARGET-20-PAUYDT	TARGET-20-PAVAGA	TARGET-20-PAVFYL	TARGET-20-PAVLKB	TARGET-20-PAVLWY	TARGET-20-PAVPKA	TARGET-20-PAVSWX	TARGET-20-PAWCAW	TARGET-20-PAWFZT	TARGET-20-PAWTWW	TARGET-20-PAWXZJ	TARGET-20-PAWYTW	TARGET-20-PAXGVH	TARGET-20-PAXJVE
AC008764.5	57	37	65	41	21	197	42	43	110	167	105	148	117	35	76	55	67	41	52	71
AC008764.6	140	56	43	47	32	589	63	41	162	161	86	90	167	64	134	44	68	54	89	53
AC008764.7	157	122	105	148	28	338	110	50	196	355	435	44	124	30	174	208	129	44	76	132
AC008764.8	994	497	310	555	232	1253	419	178	768	1054	1045	580	1035	349	710	518	453	185	316	413
AC008764.9	578	419	354	489	112	943	344	193	697	1232	1350	132	308	121	521	640	418	138	253	455
AC008766.1	6	2	3	3	14	0	6	0	6	6	0	2	9	1	4	0	1	2	8	2
AC008770.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AC008770.2	6	7	18	7	19	0	14	10	8	2	4	6	15	21	9	2	11	9	22	2
AC008770.3	33	111	147	93	120	15	150	17	36	57	89	77	97	208	78	73	73	73	83	59
AC008770.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008771.1	90	136	293	1113	280	316	666	201	870	466	879	669	769	149	705	971	416	218	374	501
AC008780.1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
AC008781.1	402	395	440	466	295	355	524	387	224	291	432	262	455	298	284	249	415	753	272	386
AC008781.2	45	0	4	1	23	17	3	0	2	12	1	1	1	8	5	0	6	5	22	2
AC008782.1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AC008785.1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0
AC008786.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008794.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008798.1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
AC008798.2	2	1	1	1	0	10	2	0	7	0	5	1	0	1	1	1	4	0	1	0
AC008798.3	1	2	0	2	0	0	1	12	1	2	1	1	0	1	4	0	2	2	0	2
AC008799.1	1	2	1	3	1	10	3	0	4	5	0	4	3	2	3	2	4	2	0	1
AC008799.2	0	0	1	2	3	0	1	0	4	6	2	1	4	0	1	2	0	1	1	1
AC008802.1	1	5	7	12	6	1	2	0	2	4	1	3	5	5	1	1	3	2	2	0
AC008805.1	0	0	2	2	2	0	0	0	1	2	1	2	1	1	0	0	2	2	0	0
AC008805.2	2	2	2	4	1	0	0	0	1	2	0	1	0	6	0	0	1	3	1	0
AC008806.1	17	5	2	5	5	14	6	1	22	13	3	2	6	10	2	1	4	2	58	2
AC008808.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
